numPos,numNeg,numStages,maxFalseAlarmRate,minHitRate,maxDepth,maxWeakCount,Precision,Total_Detections,Valid_Plates
834,387,11,0.23,0.84,5,192,0.0524,553,29
554,272,7,0.17,0.71,14,168,0.0194,3548,69
345,275,13,0.39,0.79,15,120,0.008199999999999999,122,1
321,310,11,0.25,0.92,5,110,0.0,22,0
731,449,12,0.31,0.76,14,131,0.0149,134,2
484,323,12,0.13,0.82,11,176,0.0,101,0
335,328,13,0.19,0.74,15,197,0.0,19,0
673,444,10,0.12,0.72,8,220,0.0472,212,10
608,414,15,0.31,0.93,11,152,0.0,21,0
381,358,14,0.18,0.83,13,173,0.0385,26,1
951,397,7,0.11,0.86,5,158,0.0070999999999999995,24801,177
904,374,9,0.49,0.96,15,271,0.0216,2779,60
862,283,10,0.41,0.77,7,135,0.026600000000000002,3687,98
390,445,9,0.47,0.97,13,176,0.0195,512,10
464,399,9,0.21,0.93,10,248,0.0181,331,6
554,374,11,0.23,0.83,11,173,0.0862,116,10
645,411,10,0.22,0.78,8,256,0.032799999999999996,519,17
714,408,11,0.15,0.77,5,193,0.0317,221,7
722,393,10,0.14,0.72,6,268,0.0202,248,5
639,377,8,0.2,0.74,8,255,0.015,3137,47
820,389,10,0.21,0.79,11,263,0.0499,722,36
884,429,10,0.14,0.79,7,218,0.0533,488,26
555,390,7,0.12,0.71,9,199,0.032400000000000005,2006,65
659,446,9,0.16,0.79,9,223,0.0178,393,7
744,433,7,0.19,0.77,6,202,0.0096,8396,81
645,390,10,0.2,0.79,9,193,0.0513,273,14
878,402,8,0.11,0.79,7,262,0.0169,5458,92
710,399,9,0.16,0.71,7,260,0.0378,556,21
