numPos,numNeg,numStages,maxFalseAlarmRate,minHitRate,maxDepth,maxWeakCount,Precision,Total_Detections,Valid_Plates
700,309,12,0.35,0.93,5,259,0.0,1,0
696,190,11,0.39,0.74,12,282,0.035699999999999996,28,1
455,206,12,0.18,0.86,9,207,0.1765,17,3
578,178,8,0.31,0.74,9,231,0.002,3972,8
757,318,11,0.13,0.89,11,230,0.0455,22,1
619,161,9,0.38,0.89,8,240,0.005600000000000001,2661,15
595,368,9,0.3,0.74,8,276,0.0625,16,1
549,216,11,0.39,0.82,11,261,0.0,0,0
519,298,12,0.14,0.84,8,253,0.0,0,0
421,322,12,0.35,0.83,10,191,0.0,0,0
923,291,10,0.27,0.88,9,284,0.0077,1041,8
595,291,11,0.31,0.84,9,253,0.0,1,0
595,291,11,0.31,0.84,8,253,0.0,1,0
595,291,11,0.31,0.84,10,253,0.0,1,0
595,291,11,0.31,0.84,12,253,0.0,1,0
455,291,12,0.18,0.86,9,207,0.0,0,0
455,291,12,0.18,0.86,9,207,0.0,0,0
455,206,12,0.18,0.86,9,207,0.0,0,0
455,206,12,0.18,0.86,9,207,0.3333,3,1
455,206,12,0.18,0.86,9,207,0.1765,17,3
455,206,12,0.18,0.86,12,207,0.1765,17,3
600,206,12,0.18,0.86,12,207,0.1316,38,5
600,206,12,0.18,0.86,12,150,0.1316,38,5
600,206,12,0.09,0.86,12,207,0.1316,38,5
600,150,12,0.18,0.86,12,207,0.0,56,0
400,150,12,0.18,0.86,12,207,0.0,56,0
600,260,12,0.18,0.86,12,207,0.0,2,0
600,220,12,0.18,0.86,12,207,0.0,2,0
400,206,12,0.18,0.86,12,207,0.0,1,0
1000,206,12,0.18,0.86,12,207,0.0255,862,22
700,206,12,0.18,0.86,12,207,0.0667,105,7
817,206,14,0.18,0.92,13,255,0.1,40,4
758,206,11,0.18,0.95,10,208,0.0463,108,5
881,206,14,0.18,0.95,10,209,0.1043,115,12
729,206,12,0.18,0.97,14,253,0.1389,36,5
851,206,14,0.18,0.89,9,209,0.0,57,0
868,206,13,0.18,0.9,9,241,0.0255,588,15
749,206,12,0.18,0.98,13,221,0.0192,104,2
768,206,12,0.18,0.94,13,222,0.048799999999999996,164,8
885,206,14,0.18,0.87,10,207,0.028999999999999998,69,2
837,206,12,0.18,0.87,14,207,0.0258,194,5
766,206,12,0.18,0.86,12,207,0.07690000000000001,78,6
776,206,12,0.18,0.86,12,207,0.0641,156,10
891,206,12,0.18,0.86,12,207,0.0212,849,18
780,206,12,0.18,0.86,12,207,0.023700000000000002,464,11
750,206,12,0.18,0.86,12,207,0.0444,90,4
783,206,12,0.18,0.91,12,207,0.08929999999999999,56,5
761,206,12,0.18,0.89,12,207,0.057999999999999996,69,4
646,206,12,0.1,0.95,12,207,0.0,3,0
654,206,12,0.09,0.87,12,207,0.0,2,0
775,206,12,0.1,0.94,12,207,0.0077,130,1
668,206,12,0.17,0.94,12,207,0.125,32,4
732,206,12,0.14,0.89,12,207,0.0444,293,13
732,206,12,0.17,0.89,12,207,0.0444,293,13
737,206,12,0.12,0.88,12,207,0.0311,193,6
747,206,12,0.13,0.91,12,207,0.0183,438,8
616,206,12,0.11,0.89,12,207,0.0541,37,2
654,206,12,0.18,0.91,12,207,0.0,2,0
771,206,12,0.12,0.92,12,207,0.0444,293,13
643,206,12,0.16,0.9,12,207,0.08,50,4
750,206,12,0.13,0.89,12,207,0.0444,90,4
642,206,12,0.16,0.9,12,207,0.0,13,0
770,206,12,0.17,0.95,12,207,0.0444,293,13
614,206,12,0.13,0.95,12,207,0.0,1,0
633,206,12,0.13,0.89,12,207,0.3333,3,1
719,206,12,0.1,0.94,12,207,0.16670000000000001,54,9
611,206,12,0.16,0.9,12,207,0.0,4,0
785,206,12,0.13,0.94,12,207,0.0676,148,10
644,206,12,0.12,0.9,12,207,0.5,2,1
792,206,12,0.1,0.87,12,207,0.0171,234,4
658,206,12,0.13,0.9,12,207,0.0408,98,4
709,206,12,0.12,0.87,12,207,0.09519999999999999,21,2
664,206,12,0.09,0.88,12,207,0.0833,72,6
724,206,12,0.11,0.9,12,207,0.1148,61,7
648,206,12,0.17,0.94,12,207,0.0526,38,2
613,206,12,0.17,0.95,12,207,0.16670000000000001,12,2
695,206,12,0.14,0.89,12,207,0.1333,15,2
711,206,12,0.17,0.96,12,207,0.0756,119,9
724,206,12,0.16,0.9,12,207,0.1148,61,7
688,206,12,0.14,0.89,12,207,0.054900000000000004,164,9
645,206,12,0.11,0.93,12,207,0.11109999999999999,9,1
607,206,12,0.17,0.95,12,207,0.25,4,1
762,206,12,0.13,0.87,12,207,0.0667,45,3
674,206,12,0.09,0.95,12,207,0.0588,17,1
754,206,12,0.09,0.86,12,207,0.2,25,5
607,206,12,0.11,0.87,12,207,0.25,4,1
624,206,12,0.15,0.92,12,207,0.3333,3,1
734,206,12,0.1,0.88,12,207,0.0575,87,5
796,206,12,0.15,0.94,12,207,0.0203,197,4
736,206,12,0.14,0.94,12,207,0.0455,44,2
602,206,12,0.09,0.96,12,207,0.16670000000000001,18,3
713,206,12,0.15,0.87,12,207,0.10529999999999999,76,8
625,206,12,0.14,0.92,12,207,0.25,4,1
684,206,12,0.11,0.88,12,207,0.0273,183,5
668,206,12,0.14,0.92,12,207,0.125,32,4
675,206,12,0.12,0.88,12,207,0.0481,270,13
685,206,12,0.16,0.91,12,207,0.042,119,5
754,206,12,0.13,0.96,12,207,0.2,25,5
774,206,12,0.1,0.93,12,207,0.0784,153,12
762,206,12,0.11,0.91,12,207,0.0667,45,3
641,206,12,0.15,0.9,12,207,0.09720000000000001,72,7
663,206,12,0.17,0.94,12,207,0.1818,11,2
756,206,12,0.16,0.88,12,207,0.15789999999999998,38,6
762,206,12,0.13,0.96,12,207,0.0667,45,3
732,206,12,0.12,0.88,12,207,0.0444,293,13
661,206,12,0.18,0.88,12,207,0.12119999999999999,33,4
711,206,12,0.17,0.91,12,207,0.0756,119,9
630,206,12,0.16,0.89,12,207,0.4375,16,7
784,206,12,0.11,0.87,12,207,0.0196,51,1
718,206,12,0.12,0.9,12,207,0.1264,87,11
768,206,12,0.09,0.89,12,207,0.048799999999999996,164,8
709,206,12,0.09,0.92,12,207,0.09519999999999999,21,2
745,206,12,0.1,0.94,12,207,0.0233,43,1
714,206,12,0.16,0.92,12,207,0.125,80,10
640,206,12,0.18,0.91,12,207,0.25,4,1
657,206,12,0.14,0.87,12,207,0.0408,98,4
620,206,12,0.17,0.89,12,207,0.1429,7,1
616,206,12,0.12,0.9,12,207,0.0541,37,2
686,206,12,0.14,0.94,12,207,0.0526,133,7
777,206,12,0.18,0.88,12,207,0.1017,59,6
782,206,12,0.13,0.9,12,207,0.08929999999999999,56,5
711,206,12,0.1,0.91,12,207,0.0756,119,9
732,206,12,0.12,0.95,12,207,0.0444,293,13
728,206,12,0.15,0.95,12,207,0.0,8,0
696,206,12,0.11,0.9,12,207,0.10529999999999999,57,6
703,206,12,0.15,0.95,12,207,0.048799999999999996,41,2
